"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"falabella","samsung","led uhd 4k 55"" smart tv un55ru7100gxpe serie ru7100",2399,1699,55
"falabella","samsung","televisorled 43"" fhd smart tv 43lk5400psa",2399,1699,43
"falabella","samsung","televisor 49"" fhd smart tv 49lk5400psa",2399,1699,49
"falabella","samsung","televisor 49"" 4k uhd smart tv 49uk6200psa",2399,1699,49
"falabella","samsung","televisor 55"" 4k uhd smart tv 55uk6200psa",2399,1699,55
"falabella","samsung","televisor 55"" 4k uhd smart tv xbr55x805e/sla8",2399,1699,55
"falabella","samsung","televisor 65"" 4k uhd smart tv 65uk6350psc",2399,1699,65
"falabella","samsung","led uhd 4k 65"" smart tv un65ru7100gxpe serie ru7100",2399,1699,65
"falabella","samsung","televisor 70"" 4k uhd smart tv 70uk6550psa",2399,1699,70
"falabella","samsung","televisor 65"" 4k uhd smart tv 65uk6350psc + sofã¡ reclinable hanoi 2 cuerpos",2399,1699,65
"falabella","samsung","televisor 50"" 4k uhd smart tv un50nu7090gxpe",2399,1699,50
"falabella","samsung","televisor 55"" 4k uhd smart tv un55nu7090gxpe",2399,1699,55
"falabella","samsung","televisor 43"" fhd smart tv le43s5970",2399,1699,43
"falabella","samsung","televisor 49"" fhd smart tv 49lk5700psc",2399,1699,49
"falabella","samsung","televisor 55"" 4k uhd smart tv kd-55x725f la8 ",2399,1699,55
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q6fnagxpe",2399,1699,65
"falabella","samsung","televisor 43"" 4k uhd smart tv 43uk6300psb",2399,1699,43
"falabella","samsung","led 65"" ultra hd smart tv curvo",2399,1699,65
"falabella","samsung","televisor 43"" fhd smart tv tc-43fs500p",2399,1699,43
"falabella","samsung","televisor 48"" fhd smart tv kdl-48w655d",2399,1699,48
"falabella","samsung","televisor 43"" hd smart tv rled-l43d1200sm ",2399,1699,43
"falabella","samsung","televisor 32"" hd smart tv rled-l32d1200sm",2399,1699,32
"falabella","samsung","televisor 32"" hd tv tc-32fs500 ",2399,1699,32
"falabella","samsung","televisor 24"" hd  le24h1351",2399,1699,24
"falabella","samsung","televisor 32"" hd le32m1370",2399,1699,32
"falabella","samsung","televisor 49"" 4k uhd smart tv xbr49x805e/sla8",2399,1699,49
"falabella","samsung","televisor 75"" 4k uhd android tv xbr-75x945e la8",2399,1699,75
"falabella","samsung","televisor oled 55"" 4k uhd smart tv tc-55fz950w",2399,1699,55
"falabella","prima","tv led 32"" smart hd",699,649,32
"falabella","prima","televisor 32"" hd smart tv 32s5285",699,649,32
"falabella","prima","televisor 43"" fhd smart tv 43s5285",699,649,43
"falabella","prima","televisor 32"" hd  hyled3236d",699,649,32
"falabella","prima","televisor 32"" hd smart tv 32lk540bpsa",699,649,32
"falabella","prima","led uhd 4k 55"" smart tv un55ru7400gxpe serie ru7400",699,649,55
"falabella","prima","televisor 75"" 4k uhd smart tv hyled7501i4k",699,649,75
"falabella","prima","televisor 65"" fhd  led65isdbt",699,649,65
"falabella","prima","led uhd 4k 50"" smart tv un50ru7400gxpe serie ru7400",699,649,50
"falabella","prima","televisor 58"" 4k uhd smart tv 58pud6513",699,649,58
"falabella","prima","televisor led 55"" nanocell smart tv ai 55sm8100",699,649,55
"falabella","prima","televisor 55"" 4k uhd smart tv kd-55x755f  la8",699,649,55
"falabella","prima","televisor 43"" fhd smart tv un43j5202agxpe",699,649,43
"falabella","prima","televisor 43"" 4k uhd smart tv tc-43gx500p",699,649,43
"falabella","prima","televisor 75"" 4k uhd smart tv xbr-75x855f la8",699,649,75
