"ecommerce","producto","precio_antes","precio_actual","marca","pulgadas"
"la-curacao","tv led aoc ultra hd smart 50"" le50u7970","1899","999","aoc","50"
"la-curacao","tv samsung ultra hd 4k smart 58"" un-58ru7100g","1899","999","samsung","58"
"la-curacao","tv lg ultra hd 4k smart ai 55"" 55uk6200","1899","999","lg","55"
"la-curacao","tv aoc ultra hd 4k smart 55"" 55u6285","1899","999","aoc","55"
"la-curacao","tv samsung ultra hd 4k smart 55"" un-55ru7100g","1899","999","samsung","55"
"la-curacao","tv samsung ultra hd 4k smart 50"" un-50ru7100g","1899","999","samsung","50"
"la-curacao","tv lg ultra hd 4k smart tv ai 49"" 49um7100","1899","999","lg","49"
"la-curacao","tv lg ultra hd 4k smart 65"" 65uk6350","1899","999","lg","65"
"la-curacao","tv lg 49"" uhd 4k smart ai lg 49uk6200","1899","999","lg","49"
"la-curacao","tv qn-49q6fnag samsung 49"" uhd qled smart","1899","999","samsung","49"
"la-curacao","tv samsung ultra hd 4k smart 82"" un-82nu8000g","1899","999","samsung","82"
"la-curacao","tv hyundai ultra hd 4k smart 49"" hyled4916im4k","1899","999","hyundai","49"
"la-curacao","tv led philips ultra hd 4k smart 58"" 58pud6513","1899","999","philips","58"
"la-curacao","tv hisense ultra hd smart 55"" h5518uh6ip","1899","999","hisense","55"
"la-curacao","tv lg nanocell ultra hd 4k smart ai 49"" 49uk7500","1899","999","lg","49"
"la-curacao","tv lg ultra hd 4k smart ai 43"" 43uk6200","1899","999","lg","43"
"la-curacao","tv samsung full hd smart ai 32"" un-32j4290ag","1899","999","samsung","32"
"la-curacao","tv samsung full hd smart tv 43"" un-43j5202ag","1899","999","samsung","43"
"la-curacao","tv lg nanocell smart tv ai 49"" 49sm8000","1899","999","lg","49"
"la-curacao","tv lg nanocell smart tv ai 55"" 55sm8100","1899","999","lg","55"
"la-curacao","tv lg 4k ultra hd smart ai 43"" smart ai tv 43um7300","1899","999","lg","43"
"la-curacao","tv lg full hd smart ai 43"" smart ai tv 43lm6300","1899","999","lg","43"
"la-curacao","tv panasonic oled 4k ultra hd 65"" tc-65fz1000w","1899","999","panasonic","65"
"la-curacao","tv lg ultra hd 4k smart tv ai 55"" 55um7400","1899","999","lg","55"
"la-curacao","tv lg ultra hd 4k smart tv ai 60"" 60um7200","1899","999","lg","60"
"la-curacao","tv lg ultra hd 4k smart tv 50"" 50um7500","1899","999","lg","50"
"la-curacao","tv lg ultra hd 4k smart tv ia 55"" 55um7650","1899","999","lg","55"
"la-curacao","tv lg ultra hd 4k smart tv ai 65"" 65um7650","1899","999","lg","65"
"la-curacao","tv lg nanocell ultra hd 4k smart ai 55"" 55uk7500","1899","999","lg","55"
"la-curacao","tv samsung full hd smart 49"" un-49j5290ag","1899","999","samsung","49"
"la-curacao","tv samsung serie 7 ultra hd 4k smart 43"" un-43nu7090g","1899","999","samsung","43"
"la-curacao","tv lg 60"" 60uk6200 uhd smart ai lg 60uk6200","1899","999","lg","60"
"la-curacao","tv led hd aoc smart 32"" le32s5970s","1899","999","aoc","32"
"la-curacao","tv led fhd aoc smart 43"" le43s597s","1899","999","aoc","43"
"la-curacao","tv lg nanocell smart tv ai 65"" 65sm8100","1899","999","lg","65"
"la-curacao","tv lg nanocell smart tv ai 75"" 75sm9070","1899","999","lg","75"
"la-curacao","tv 49lk5400 43â” fhd smart ai lg","1899","999","lg","tv 49lk5400 43â” fhd smart ai lg"
