"ecommerce","marca","producto","precio_actual","precio_antes","pulgadas"
"wong.pe","lg","lg smart tv 49"" full hd 49lk5400","1299"," 1399","49"
"wong.pe","lg","lg smart tv 60"" 4k uhd 60uk6200 thinq ai","2299"," 2599","60"
"wong.pe","aoc","aoc smart tv 32'' hd le32s5970s linux"," 599","  799","32"
"wong.pe","lg","lg smart tv 43"" fhd 43lk5400"," 999"," 1199","43"
"wong.pe","hisense","hisense televisor led 32'' hd h3218h4ip"," 499"," 1299","32"
"wong.pe","lg","lg smart tv 55"" 4k uhd 55uk6200 thinq ai","1799"," 2199","55"
"wong.pe","panasonic","panasonic smart tv viera 32'' hd 32fs500"," 799","  999","32"
"wong.pe","aoc","aoc smart tv 55'' 4k uhd 55u7970 linux","1299"," 2499","55"
"wong.pe","aoc","aoc televisor led 32'' hd 32m1370"," 499","  699","32"
"wong.pe","aoc","aoc smart tv 50'' 4k uhd 50u6285 linux","1199"," 1899","50"
"wong.pe","samsung","samsung smart tv 49"" full hd 49j5290","1099"," 1799","49"
"wong.pe","samsung","samsung smart tv qled 55"" 4k uhd 55q6fn","6999"," 6999","55"
"wong.pe","aoc","aoc smart tv 65'' 4k uhd 65u7970 linux","1999"," 3599","65"
"wong.pe","lg","lg smart tv 49"" 4k uhd 49uk6200 thinq ai","1499"," 1699","49"
"wong.pe","samsung","samsung smart tv 50'' 4k uhd 50nu7095","1299"," 1799","50"
"wong.pe","samsung","samsung smart tv 65'' 4k uhd 65ru7100","3499"," 3499","65"
"wong.pe","samsung","samsung smart tv 58'' 4k uhd 58ru7100","2099"," 2699","58"
"wong.pe","samsung","samsung smart tv 55'' 4k uhd 55ru7100","1799"," 2399","55"
"wong.pe","philips","philips smart tv oled ambilight 55'' 4k uhd 55oled873","4499"," 7999","55"
"wong.pe","philips","philips smart tv ambilight 65'' 4k uhd 65pud6703","2599"," 3999","65"
"wong.pe","aoc","aoc smart tv 55'' 4k uhd le55u6285 linux","1299"," 2499","55"
"wong.pe","philips","philips smart tv 58'' 4k uhd 58pud6513","1699"," 2599","58"
"wong.pe","samsung","samsung smart tv 43'' 4k uhd 43nu7090","1599"," 1699","43"
"wong.pe","aoc","aoc smart tv 43'' full hd le43s5970s linux"," 999"," 1299","43"
"wong.pe","samsung","samsung smart tv 82'' 4k uhd 82nu8000","7999","18999","82"
"wong.pe","samsung","lg smart tv 86"" 4k uhd 86uk6570 thinq ai","9999","19999","86"
"wong.pe","hisense","hisense smart tv 32'' hd 3218h5ipe vidaa u"," 599","  999","32"
"wong.pe","sony","sony smart tv 32'' hd kdl-32w605d"," 949"," 1199","32"
"wong.pe","samsung","samsung smart tv curvo 55'' 4k uhd 55nu7500","4499"," 4499","55"
"wong.pe","hisense","hisense smart tv 49'' full hd 4918rtfipe"," 999"," 2099","49"
"wong.pe","samsung","samsung smart tv qled curvo 65"" 4k uhd 65q8cn","5799","10999","65"
"wong.pe","lg","lg smart tv 65"" 4k uhd 65uk6550 thinq ai","2999"," 5499","65"
"wong.pe","lg","lg smart tv 75"" 4k uhd 75uk6570 thinq ai","5499","11999","75"
"wong.pe","lg","lg smart tv oled 65"" 4k uhd oled65b8 thinq ai","7999","10999","65"
"wong.pe","philips","philips smart tv ambilight 55'' 4k uhd 55pud6703","1699"," 2599","55"
"wong.pe","hisense","hisense smart tv 43'' full hd 4318fh5ipe vidaa u"," 899"," 1499","43"
"wong.pe","lg","lg smart tv 32"" hd 32lk540b"," 799","  999","32"
"wong.pe","lg","lg smart tv 70"" 4k uhd 70uk6550 thinq ai","4499"," 6499","70"
"wong.pe","sony","sony smart tv 55'' 4k uhd kd-55x725f opera","1899"," 3599","55"
"wong.pe","aoc","aoc smart tv 39"" hd 39s5970"," 799","  999","39"
"wong.pe","samsung","samsung smart tv curvo 65'' 4k uhd 65nu7500","6999"," 6999","65"
"wong.pe","lg","lg smart tv 49"" full hd 49lk5700 thinq ai","1349"," 1699","49"
"wong.pe","lg","lg smart tv 55"" 4k uhd 55uk6550 thinq ai","1999"," 2899","55"
"wong.pe","lg","lg smart tv 43"" full hd 43lk5700 thinq ai","1299"," 1299","43"
"wong.pe","lg","lg smart tv 55"" 4k uhd 55uk6350 thinq ai","1799"," 2699","55"
"wong.pe","sony","sony smart tv 55'' 4k uhd kd-55x750f android","2399"," 4499","55"
"wong.pe","samsung","samsung smart tv curvo 65'' 4k uhd 65nu7300","4999"," 4999","65"
"wong.pe","sony","sony smart tv 40'' full hd kdl-40w655d linux","1299"," 1699","40"
"wong.pe","samsung","samsung smart tv 55'' 4k uhd 55mu6103","3599"," 3599","55"
"wong.pe","daewoo","daewoo smart tv 43'' full hd l43s780bts","1439"," 1439","43"
"wong.pe","samsung","samsung smart tv 49'' 4k uhd 49mu6400","3999"," 3999","49"
