"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"lacuracao","samsung","tv samsung ultra hd 4k smart 50"" un-50ru7100g"," 1999.0"," 1299.0","50"
"lacuracao","samsung","tv samsung ultra hd 4k smart 58"" un-58ru7100g"," 2699.0"," 1799.0","58"
"lacuracao","lg","tv lg ultra hd 4k smart ai 55"" 55uk6200"," 2199.0"," 1599.0","55"
"lacuracao","aoc","tv aoc ultra hd 4k smart 55"" 55u6285"," 2499.0"," 1199.0","55"
"lacuracao","aoc","tv led aoc ultra hd smart 50"" le50u7970"," 1899.0","  999.0","50"
"lacuracao","samsung","tv samsung ultra hd 4k smart 55"" un-55ru7100g"," 2399.0"," 1599.0","55"
"lacuracao","lg","tv lg ultra hd 4k smart tv ai 49"" 49um7100"," 1799.0"," 1699.0","49"
"lacuracao","lg","tv lg ultra hd 4k smart 65"" 65uk6350"," 2849.0"," 2399.0","65"
"lacuracao","lg","tv lg 49"" uhd 4k smart ai lg 49uk6200"," 1699.0"," 1349.0","49"
"lacuracao","samsung","tv qn-49q6fnag samsung 49"" uhd qled smart"," 3999.0"," 2349.0","49"
"lacuracao","samsung","tv samsung ultra hd 4k smart 82"" un-82nu8000g","12899.0"," 6499.0","82"
"lacuracao","hyundai","tv hyundai ultra hd 4k smart 49"" hyled4916im4k"," 1999.0"," 1099.0","49"
"lacuracao","philips","tv led philips ultra hd 4k smart 58"" 58pud6513"," 2599.0"," 2599.0","58"
"lacuracao","hisense","tv hisense ultra hd smart 55"" h5518uh6ip"," 2799.0"," 1499.0","55"
"lacuracao","lg","tv lg nanocell ultra hd 4k smart ai 49"" 49uk7500"," 2499.0"," 1699.0","49"
"lacuracao","lg","tv lg ultra hd 4k smart ai 43"" 43uk6200"," 1399.0"," 1099.0","43"
"lacuracao","samsung","tv samsung full hd smart ai 32"" un-32j4290ag","  999.0","  749.0","32"
"lacuracao","samsung","tv samsung full hd smart tv 43"" un-43j5202ag"," 1599.0"," 1149.0","43"
"lacuracao","lg","tv lg nanocell smart tv ai 49"" 49sm8000"," 2299.0"," 2249.0","49"
"lacuracao","lg","tv lg nanocell smart tv ai 55"" 55sm8100"," 2899.0"," 2799.0","55"
"lacuracao","lg","tv lg 4k ultra hd smart ai 43"" smart ai tv 43um7300"," 1499.0"," 1499.0","43"
"lacuracao","lg","tv lg full hd smart ai 43"" smart ai tv 43lm6300"," 1299.0"," 1299.0","43"
"lacuracao","lg","tv lg 4k ultra hd smart ai 65"" smart ai tv 65um7400"," 2999.0"," 2999.0","65"
"lacuracao","panasonic","tv panasonic oled 4k ultra hd 65"" tc-65fz1000w","12999.0"," 6799.0","65"
"lacuracao","lg","tv lg ultra hd 4k smart tv ai 55"" 55um7400"," 2499.0"," 2349.0","55"
"lacuracao","lg","tv lg ultra hd 4k smart tv ai 60"" 60um7200"," 2699.0"," 2499.0","60"
"lacuracao","lg","tv lg ultra hd 4k smart tv 50"" 50um7500"," 2099.0"," 1999.0","50"
"lacuracao","lg","tv lg ultra hd 4k smart tv ia 55"" 55um7650"," 2699.0"," 2499.0","55"
"lacuracao","lg","tv lg ultra hd 4k smart tv ai 65"" 65um7650"," 3499.0"," 3199.0","65"
"lacuracao","lg","tv lg nanocell ultra hd 4k smart ai 55"" 55uk7500"," 3299.0"," 2099.0","55"
"lacuracao","samsung","tv samsung full hd smart 49"" un-49j5290ag"," 1799.0","  999.0","49"
"lacuracao","samsung","tv samsung serie 7 ultra hd 4k smart 43"" un-43nu7090g"," 1599.0","  949.0","43"
"lacuracao","lg","tv lg 60"" 60uk6200 uhd smart ai lg 60uk6200"," 2349.0"," 1899.0","60"
"lacuracao","aoc","tv led hd aoc smart 32"" le32s5970s","  799.0","  559.0","32"
"lacuracao","aoc","tv led fhd aoc smart 43"" le43s597s"," 1299.0","  759.0","43"
"lacuracao","lg","tv lg nanocell smart tv ai 65"" 65sm8100"," 4499.0"," 4299.0","65"
"lacuracao","lg","tv lg nanocell smart tv ai 75"" 75sm9070","10999.0"," 9699.0","75"
"lacuracao","philips","tv led philips ultra hd 4k smart 50"" 50pud6513"," 1999.0"," 1049.0","50"
"lacuracao","lg","tv lg ultra hd 4k smart ai 70"" 70uk6550"," 5999.0"," 3799.0","70"
"lacuracao","samsung","tv qled samsung ultra hd 4k smart 55"" qn-55q7fna"," 7999.0"," 3299.0","55"
"lacuracao","lg","tv led full hd lg smart 43"" 43lk5400"," 1199.0","  899.0","43"
"lacuracao","samsung","tv samsung qled ultra hd 4k smart 65"" qn-65q9fnag","10999.0"," 6999.0","65"
"lacuracao","samsung","tv samsung qled ultra hd 4k smart 82"" qn-82q6fnag","19999.0"," 8499.0","82"
"lacuracao","hisense","tv hisense hd smart 32"" h3218h5ip"," 1099.0","  649.0","32"
"lacuracao","lg","tv lg nanocell smart tv ai 55"" 55sm8600"," 3999.0"," 3499.0","55"
"lacuracao","lg","tv lg nanocell smart tv ai 65"" 65sm8600"," 5499.0"," 4849.0","65"
"lacuracao","lg","tv lg nanocell smart tv ai 65"" 65sm9500"," 6999.0"," 6199.0","65"
"lacuracao","panasonic","tv led panasonic viera hd smart 32"" tc-32fs500p","  999.0","  649.0","32"
"lacuracao","sony","tv led sony full hd 32"" kdl-32w605d"," 1299.0","  849.0","32"
"lacuracao","aoc","tv aoc hd smart 32"" 32s5285","  799.0","  559.0","32"
"lacuracao","aoc","tv aoc full hd smart 43"" 43s5285"," 1299.0","  759.0","43"
"lacuracao","aoc","tv aoc ultra hd 4k smart 65"" 65u6285"," 3599.0"," 1849.0","65"
"lacuracao","philips","tv led philips ultra hd 4k smart 55"" 55pud6513"," 2399.0"," 1349.0","55"
"lacuracao","philips","tv led philips ambilight ultra hd 4k smart 55"" 55pud6703"," 2599.0"," 2599.0","55"
"lacuracao","philips","tv led philips ambilight ultra hd 4k smart 65"" 65pud6703"," 3999.0"," 3999.0","65"
"lacuracao","philips","tv oled philips ambilight ultra hd 4k smart android 55"" 55oled873"," 7999.0"," 7999.0","55"
"lacuracao","lg","tv lg ultra hd 4k smart ai 50"" 50uk6300"," 2099.0"," 1599.0","50"
"lacuracao","samsung","tv qled samsung ultra hd 4k smart 55"" qn-55q60rag"," 4599.0"," 3599.0","55"
