"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"falabella","samsung","led uhd 4k 50"" smart tv un50nu7095gxpe serie nu7095"," 1799.0"," 1199.0","50"
"falabella","samsung","televisor 65"" 4k uhd smart tv un65nu7090gxpe"," 2299.0"," 2199.0","65"
"falabella","samsung","televisor 43"" 4k uhd smart tv un43nu7090gxpe samsung","  999.0","  949.0","43"
"falabella","samsung","led uhd 4k 55"" smart tv un55ru7100gxpe serie ru7100"," 2399.0"," 1799.0","55"
"falabella","lg","televisorled 43"" fhd smart tv 43lk5400psa"," 1149.0"," 1149.0","43"
"falabella","lg","televisor 49"" fhd smart tv 49lk5400psa"," 1399.0","  999.0","49"
"falabella","lg","televisor 49"" 4k uhd smart tv 49uk6200psa"," 1699.0"," 1699.0","49"
"falabella","lg","televisor 55"" 4k uhd smart tv 55uk6200psa"," 2199.0"," 2199.0","55"
"falabella","sony","televisor 55"" 4k uhd smart tv xbr55x805e/sla8"," 4999.0"," 2499.0","55"
"falabella","lg","televisor 65"" 4k uhd smart tv 65uk6350psc"," 7999.0"," 7999.0","65"
"falabella","samsung","led uhd 4k 65"" smart tv un65ru7100gxpe serie ru7100"," 3499.0"," 2799.0","65"
"falabella","lg","televisor 70"" 4k uhd smart tv 70uk6550psa","12999.0","12999.0","70"
"falabella","samsung","televisor 50"" 4k uhd smart tv un50nu7090gxpe"," 1999.0"," 1199.0","50"
"falabella","sony","televisor 49"" 4k uhd smart tv kd-49x725f la8"," 3199.0"," 1649.0","49"
"falabella","aoc","televisor 43"" fhd smart tv le43s5970"," 1299.0","  799.0","43"
"falabella","lg","televisor 49"" fhd smart tv 49lk5700psc"," 2499.0"," 2499.0","49"
"falabella","sony","televisor 55"" 4k uhd smart tv kd-55x725f la8"," 3599.0"," 1899.0","55"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q6fnagxpe"," 8999.0"," 4999.0","65"
"falabella","lg","televisor 43"" 4k uhd smart tv 43uk6300psb"," 2499.0"," 2499.0","43"
"falabella","samsung","led 65"" ultra hd smart tv curvo"," 8599.0"," 6199.0","65"
"falabella","panasonic","televisor 43"" fhd smart tv tc-43fs500p"," 1499.0","  999.0","43"
"falabella","sony","televisor 48"" fhd smart tv kdl-48w655d"," 2199.0"," 1299.0","48"
"falabella","recco","televisor 43"" hd smart tv rled-l43d1200sm"," 1199.0","  699.0","43"
"falabella","recco","televisor 32"" hd smart tv rled-l32d1200sm","  699.0","  499.0","32"
"falabella","panasonic","televisor 32"" hd tv tc-32fs500","  999.0","  699.0","32"
"falabella","aoc","televisor 24"" hd le24h1351","  499.0","  379.0","24"
"falabella","aoc","televisor 32"" hd le32m1370","  699.0","  499.0","32"
"falabella","sony","televisor 75"" 4k uhd android tv xbr-75x945e la8","17999.0"," 7999.0","75"
"falabella","philips","televisor 65"" 4k uhd smart tv 65pud6703"," 3999.0"," 2499.0","65"
"falabella","philips","televisor oled 55"" 4k uhd smart tv 55oled873"," 7999.0"," 4299.0","55"
"falabella","samsung","led uhd 4k 50"" smart tv un50ru7400gxpe serie ru7400"," 2599.0"," 1899.0","50"
"falabella","lg","televisor led 49"" nanocell smart tv ai 49sm8000"," 2299.0"," 2299.0","49"
"falabella","lg","televisor led 55"" nanocell smart tv ai 55sm8100"," 2899.0"," 2899.0","55"
"falabella","sony","televisor 40"" fhd smart tv kdl-40w655d"," 1799.0"," 1299.0","40"
"falabella","prima","televisor 55"" 4k uhd smart tv udl55mk662ln"," 1859.0"," 1859.0","55"
"falabella","ddesign","rack brazo p/tv 14-42""","   79.0","   29.9","42"
"falabella","imaco","tv led 19"" hd","  369.0","  369.0","19"
"falabella","sony","televisor 65"" 4k uhd smart tv xbr-65a8f la8","15499.0"," 8499.0","65"
"falabella","samsung","televisor qled 55"" 4k uhd smart tv qn55q60ragxpe"," 3999.0"," 3999.0","55"
"falabella","prolink","rack con brazo para tv curva de 32"" a 65""","  299.0","  299.0","32"
"falabella","recco","televisor 55"" 4k uhd smart tv rled-l55d1202uh"," 1699.0"," 1199.0","55"
"falabella","panasonic","televisor 49"" 4k uhd smart tv tc-49fx600"," 2599.0"," 1399.0","49"
"falabella","lg","televisor oled 77"" smart tv ai oled77c9","24999.0","24999.0","77"
"falabella","lg","televisor 60"" 4k uhd smart tv 60uk6200psa"," 2599.0"," 2599.0","60"
"falabella","sony","televisor 32"" hd smart tv kdl-32w605d"," 1299.0","  949.0","32"
"falabella","panasonic","televisor 55"" 4k uhd smart tv tc-55fx800w"," 4499.0"," 3299.0","55"
"falabella","prima","televisor 49"" 4k uhd smart tv udl49mk662ln"," 1589.0"," 1589.0","49"
"falabella","sony","televisor 75"" 4k uhd smart tv xbr-75x855f la8","11999.0"," 5999.0","75"
"falabella","samsung","led uhd 4k 55"" curvo smart tv un55ru7300gxpe serie ru7300"," 2699.0"," 2099.0","55"
"falabella","panasonic","televisor 55"" 4k uhd smart tv tc-55gx500p"," 2199.0"," 1599.0","55"
"falabella","ddesign","rack fijo p/tv 32-75""","   59.0","   19.9","75"
