"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"linio","lg","tv led 4k lg 65"" 65uk6350 smart tv 65uk6..."," 3999.0"," 2439.00","65"
"linio","samsung","smart tv uhd 4k samsung 43"" un43nu7090g"," 1250.0","  978.00","43"
"linio","samsung","tv led samsung 50'' 4k smart tv 50nu7100..."," 2499.0"," 1549.00","50"
"linio","samsung","tv led smart samsung un49j5290ag 49"" ful..."," 1699.0"," 1149.00","49"
"linio","samsung","tv samsung 49'' curvo 4k uhd 49nu7300 sm..."," 1999.0"," 1399.00","49"
"linio","lg","televisor lg led 43"" fhd smart tv 43lk54..."," 1149.0","  999.00","43"
"linio","samsung","televisor samsung qled 49"" uhd 4k smart..."," 3999.0"," 2109.00","49"
"linio","samsung","tv led smart samsung 49"" un49j5290ag ful..."," 1699.0"," 1009.00","49"
"linio","samsung","televisor smart tv samsung 50"" uhd 4k 50..."," 1899.0"," 1279.00","50"
"linio","55","tv recco led 49"" hd smart tv rled-l49d16..."," 1699.0","  899.00","49"
"linio","samsung","tv led samsung 55"" 4k smart tv 55ru7100"," 2615.0"," 1629.00","55"
"linio","samsung","samsung - televisor smart tv fhd 49"" 49j..."," 1699.0"," 1199.00","49"
"linio","samsung","tv led samsung 58"" 4k smart tv 58ru7100"," 1788.0"," 1788.00","58"
"linio","samsung","samsung smart tv uhd 43'' 43nu7090-negr..."," 1499.0","  978.80","43"
"linio","lg","tv led 4k lg 65"" 65uk6350 smart tv ultra..."," 3799.0"," 2679.00","65"
"linio","lg","tv led 4k lg 65"" 65uk6350 smart tv 65uk6..."," 3999.0"," 2499.00","65"
"linio","lg","televisor lg led smart uhd 4k 55""nanocel..."," 4999.0"," 2697.00","55"
"linio","hisense","televisor hisense 55"" ultra hd 4k,smart,..."," 1999.0"," 1389.00","55"
"linio","aoc","tv aoc ultra hd 4k 65u6285 smart 65"" "," 3599.0"," 2099.00","65"
"linio","lg","tv lg smart uhd 4k 60"" 60uk6200psa + mag..."," 2499.0"," 1918.00","60"
"linio","samsung","samsung smart tv fhd 49"" 49j5290-negro"," 1999.0"," 1039.00","49"
"linio","samsung","televisor led uhd 4k smart 55""samsung un..."," 2999.0"," 1547.90","55"
"linio","samsung","tv led samsung smart 32"" digital hd un32..."," 1050.0","  669.00","32"
