"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"ripley","lg","lg smart tv uhd 49"" 49uk6200"," 3399"," 1399.00",49
"ripley","samsung","samsung smart tv uhd 65"" 65nu7090"," 3999"," 2499.00",65
"ripley","lg","lg smart tv uhd 49"" 49sm8000psa"," 4399"," 2199.00",49
"ripley","samsung","samsung smart tv uhd 55nu7090 55''"," 2899"," 1699.00",55
"ripley","sony","sony led 55"" 4k ultra hd smart tv kd-55x725f/c la8"," 4499"," 1799.00",55
"ripley","lg","lg smart tv fhd 43"" 43lk5400"," 1999","  999.00",43
"ripley","sony","sony led 49"" 4k ultra hd smart tv kd-49x725f/c la8"," 3999"," 1599.00",49
"ripley","samsung","samsung smart tv uhd 50"" 50ru7100"," 1999"," 1599.00",50
"ripley","samsung","samsung smart tv 58ru7100 58"""," 3299"," 2099.00",58
"ripley","lg","lg smart tv full hd 49"" 49lk5400"," 2499"," 1099.00",49
"ripley","samsung","samsung smart tv uhd 43'' 43nu7090"," 1899"," 1299.00",43
"ripley","lg","lg smart tv hd 32"" lk540bpsa"," 1399","  699.00",32
"ripley","lg","lg smart tv uhd 55"" 55uk6200"," 4399"," 1699.00",55
"ripley","samsung","samsung smart tv fhd 43"" 43j5202"," 1399"," 1199.00",43
"ripley","lg","lg smart tv uhd 60"" 60uk6200"," 6099"," 1999.00",60
"ripley","samsung","samsung smart tv uhd 49"" 49ru7300"," 2299"," 1699.00",49
"ripley","aoc","aoc smart tv uhd 50"" le50u7970s"," 1899"," 1099.00",50
"ripley","sony","sony led 48"" full hd smart tv kdl-48w655d la8"," 2699"," 1499.00",48
"ripley","samsung","samsung smart tv uhd 43"" 43ru7100"," 1599"," 1499.00",43
"ripley","hisense","hisense smart tv hd 32"" h3218h5ip","  999","  599.00",32
"ripley","samsung","samsung smart tv uhd 55"" 55ru7100"," 2399"," 1899.00",55
"ripley","hisense","hisense smart tv fhd 43"" h4318fh5ip"," 1299","  799.00",43
"ripley","aoc","aoc smart tv fhd 43'' le43s5970"," 1299","  849.00",43
"ripley","samsung","samsung smart tv uhd 50"" 50ru7400"," 2599"," 1999.00",50
"ripley","samsung","samsung smart tv uhd 65"" 65ru7100"," 3499"," 2699.00",65
"ripley","hisense","hisense smart tv fhd 49"" hle4918rtfipe"," 1599","  999.00",49
"ripley","sony","sony led 40"" full hd smart tv kdl-40w655d la8"," 1999"," 1199.00",40
"ripley","samsung","samsung smart tv uhd 55"" 55ru7400"," 2999"," 2499.00",55
"ripley","lg","lg smart tv uhd 49"" 49uk7500psa"," 4399"," 1699.00",49
"ripley","lg","lg smart tv uhd 70"" 70uk6550psa","12999"," 3799.00",70
"ripley","aoc","aoc tv hd 32"" 32m1370","  699","  449.00",32
"ripley","samsung","samsung smart tv uhd 65"" 65ru7400"," 4999"," 3499.00",65
"ripley","sony","sony led 55"" 4k ultra hd  android smart tv kd-55x755f la8"," 5499"," 2299.00",55
"ripley","sony","sony led 32"" hd smart tv kdl-32w605d la8"," 1499","  949.00",32
"ripley","lg","lg smart tv oled 55"" 55b8ssc","12999"," 5999.00",55
"ripley","lg","lg smart tv oled 65"" 65b8ssc","18999"," 9999.00",65
"ripley","samsung","samsung smart tv fhd 49"" 49j5290"," 1799"," 1299.00",49
"ripley","lg","lg smart tv oled 55"" oled55c9psa","14999"," 8999.00",55
"ripley","lg","lg smart tv uhd 75"" 75uk6570psa","15999"," 4999.00",75
"ripley","samsung","samsung smart tv uhd 75"" 75nu7090"," 8999"," 4999.00",75
"ripley","lg","lg smart tv oled 65"" oled65c9psa","21999","10499.00",65
"ripley","samsung","samsung smart tv uhd 50"" 50nu7400"," 2899"," 1799.00",50
"ripley","sony","sony smart tv uhd 65"" xbr-65x856f"," 9499"," 3499.00",65
"ripley","samsung","samsung smart tv qled 49"" qn49q6fnagxpe"," 4599"," 2599.00",49
"ripley","samsung","samsung smart tv curvo uhd 55"" nu7500"," 5099"," 2599.00",55
"ripley","samsung","samsung smart tv qled uhd 55"" 55q60ra"," 4599"," 3599.00",55
"ripley","samsung","samsung smart tv qled uhd 65"" 65q60ra"," 7999"," 5499.00",65
"ripley","lg","lg smart tv uhd 43"" 43uk6200"," 2499"," 1299.00",43
"ripley","haier","haier smart tv uhd 50''  le50k6500dua"," 1599","  999.00",50
"ripley","haier","haier smart tv uhd 65""â<U+0094> le65u6500dua"," 2999"," 1999.00",65
"ripley","haier","haier smart tv uhd 55'' le55u6600dua"," 1999"," 1199.00",55
"ripley","samsung","samsung smart tv qled uhd 65"" 65q70ra"," 9999"," 7299.00",65
"ripley","samsung","samsung smart tv qled uhd 75"" 75q60ra","12999"," 8999.00",75
"ripley","samsung","samsung smart tv qled 8k 82"" qn82q900rbgxpe","39999","29999.00",82
"ripley","sony","sony led 65"" 4k ultra hd xbr-65x805g la8"," 6499"," 3699.00",65
"ripley","philips","philips smart tv oled uhd 55"" 55oled873"," 7999"," 3999.00",55
"ripley","philips","philips smart tv uhd 55"" 55pud6703"," 2599"," 1549.00",55
"ripley","samsung","samsung smart tv qled 55"" qn55q7fnagxpe"," 7999"," 3599.00",55
"ripley","haier","haier smart tv uhd 55'' le55k6500dua"," 1999"," 1199.00",55
"ripley","lg","lg smart tv uhd 65"" 65um7650psb"," 8999"," 3299.00",65
"ripley","samsung","samsung smart tv qled 55"" qn55q70"," 6999"," 5499.00",55
"ripley","sony","sony led 49"" 4k ultra hd xbr-49x805g la8"," 4099"," 2299.00",49
"ripley","sony","sony smart tv fhd 65"" xbr-65x955g"," 9499"," 5999.00",65
"ripley","sony","sony led 55"" 4k ultra hd android smart tv  xbr-55x805e/sla8"," 6999"," 2499.00",55
"ripley","lg","lg smart tv oled 55"" oled55c8psa","14999"," 6499.00",55
