"periodo","ecommerce","marca","producto","precio_antes","precio_actual","pulgadas","rangos"
2016,"ripley","samsung","samsung tv led hd 32'' 32j4000",999,799,32,"S/.500 -
 S/.1500"
2016,"ripley","samsung","samsung smart tv led fhd 48"""" 3d 48j6400",2799,1999,48,"S/.1500 -
 S/.2500"
2016,"ripley","lg","lg smart tv led 43'' full hd 43lh5700",1649,1249,43,"S/.500 -
 S/.1500"
2016,"ripley","lg","lg smart tv led 49'' full hd 49lh5700",1999,1699,49,"S/.1500 -
 S/.2500"
2016,"ripley","samsung","samsung smart tv 50ju6500 led uhd 50"""" - negro",3699,2399,50,"S/.1500 -
 S/.2500"
2016,"ripley","lg","lg smart tv led 49"""" ultra hd tv 49uh6500",2799,2199,49,"S/.1500 -
 S/.2500"
2016,"ripley","lg","lg tv smart full hd 49"""" web os 49lh6000",2099,1799,49,"S/.1500 -
 S/.2500"
2016,"ripley","samsung","samsung smart tv led 48"""" full hd 48j5300",2299,1799,48,"S/.1500 -
 S/.2500"
2016,"ripley","haier","haier televisor led le50k5000n 50""""",1799,1399,50,"S/.500 -
 S/.1500"
2016,"ripley","samsung","samsung smart tv led full hd 40'' 40j5500",2299,1399,40,"S/.500 -
 S/.1500"
2016,"ripley","lg","lg tv smart uhd 55"""" web os 3 55uh6150",3699,3299,55,"S/.2500 -
 S/.3500"
2016,"ripley","aoc","aoc tv led full hd 43'' f1361",NA,1199,43,"S/.500 -
 S/.1500"
2016,"ripley","panasonic","panasonic tv led full hd 42'' tc-42as610",1899,999,42,"S/.500 -
 S/.1500"
2016,"ripley","haier","haier smart tv 40"""" hd le40k5000n",1299,899,40,"S/.500 -
 S/.1500"
2016,"ripley","sony","sony tv led 40"""" full hd kdl-40r355c",1699,1299,40,"S/.500 -
 S/.1500"
2016,"ripley","lg","lg tv led full hd 43'' 43lf5100",1399,1199,43,"S/.500 -
 S/.1500"
2016,"ripley","lg","lg tv full hd 43"""" 43lh5100",1399,1299,43,"S/.500 -
 S/.1500"
2016,"ripley","lg","lg smart tv web os 40"""" full hd 40lf6350",2218,1399,40,"S/.500 -
 S/.1500"
2016,"ripley","aoc","aoc smart tv led full hd 49'' le49f1761",1799,1599,49,"S/.1500 -
 S/.2500"
2016,"ripley","lg","lg smart tv led 42"""" fhd cinema 3d 42lf6450",2299,1699,42,"S/.1500 -
 S/.2500"
2016,"ripley","lg","lg smart tv 43"""" full hd web os 43lh6000",1699,1399,43,"S/.500 -
 S/.1500"
2016,"ripley","samsung","samsung smart tv led fhd 48"""" curvo un48j6500",2999,2299,48,"S/.1500 -
 S/.2500"
2016,"ripley","samsung","samsung smart tv led full hd 48'' 48j5500",2499,1799,48,"S/.1500 -
 S/.2500"
2016,"ripley","haier","haier tv led 55"""" full hd le55b8000",1999,1599,55,"S/.1500 -
 S/.2500"
