"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"wong","LG","LG Smart TV 70"" 4K UHD 70UK6550 ThinQ AI","6499.00","4499.00",70
"wong","SAMSUNG","Samsung Smart TV 50'' 4K UHD 50NU7095","1799.00","1299.00",50
"wong","LG","LG Smart TV 49"" Full HD 49LK5400","1399.00","1299.00",49
"wong","SAMSUNG","Samsung Smart TV 55'' 4K UHD 55RU7100","2399.00","1799.00",55
"wong","AOC","AOC Smart TV 50'' 4K UHD LE50U7970S Linux","1899.00","1099.00",50
"wong","LG","LG Smart TV 43"" Full HD 43LK5400","1199.00","1099.00",43
"wong","AOC","AOC Televisor LED 22'' Full HD 22M3085","499.00","299.00",22
"wong","HISENSE","Hisense Smart TV 43'' Full HD 4318FH5IPE VIDAA U","1499.00","899.00",43
"wong","AOC","AOC Smart TV 55'' 4K UHD LE55U6285 Linux","2499.00","1299.00",55
"wong","HISENSE","Hisense Smart TV 32'' HD 3218H5IPE VIDAA U","999.00","549.00",32
"wong","PANASONIC","Panasonic Smart TV 43'' 4K UHD TC-43GX500P","1699.00","1099.00",43
"wong","HISENSE","Hisense Televisor LED 32'' HD H3218H4IP","1299.00","449.00",32
"wong","LG","LG Smart TV 32"" HD 32LK540B","999.00","799.00",32
"wong","HISENSE","Hisense Smart TV 49'' Full HD 4918RTFIPE","2099.00","999.00",49
"wong","PHILIPS","Philips Smart TV Ambilight 55'' 4K UHD 55PUD6703","2599.00","1549.00",55
"wong","PHILIPS","Philips LED 55PUD6513 ULTRA HD 4K","2399.00","1499.00",NA
"wong","SONY","Sony Smart TV 40'' Full HD KDL-40W655D Linux","1699.00","1199.00",40
"wong","LG","LG Smart TV NanoCell 55'' 4K UHD 55SM8100 ThinQ AI","2899.00","2799.00",55
"wong","LG","LG Smart TV 43'' 4K UHD 43UM7300 ThinQ AI",NA,"1499.00",43
"wong","LG","LG Smart TV NanoCell 49'' 4K UHD 49SM8000 ThinQ AI","2299.00","2249.00",49
"wong","LG","LG Smart TV 49'' 4K UHD 49UM7100 ThinQ AI","1799.00","1499.00",49
"wong","PANASONIC","Panasonic Smart TV 55'' 4K UHD TC-55GX500P","2199.00","1499.00",55
"wong","PANASONIC","Panasonic Smart TV 65'' 4K UHD TC-65GX500P",NA,"3599.00",65
"wong","SAMSUNG","Samsung Smart TV 65'' 4K UHD 65RU7100","3499.00","2699.00",65
"wong","SAMSUNG","Samsung Smart TV 58'' 4K UHD 58RU7100","2699.00","2099.00",58
"wong","PHILIPS","Philips Smart TV OLED Ambilight 55'' 4K UHD 55OLED873","7999.00","3999.00",55
"wong","PHILIPS","Philips Smart TV Ambilight 65'' 4K UHD 65PUD6703","3999.00","2299.00",65
"wong","PHILIPS","Philips Smart TV 58'' 4K UHD 58PUD6513","2599.00","1599.00",58
"wong","SAMSUNG","Samsung Smart TV 43'' 4K UHD 43NU7090","1699.00","1299.00",43
"wong","AOC","AOC Smart TV 43'' Full HD LE43S5970S Linux","1299.00","849.00",43
"wong","AOC","AOC Smart TV 32'' HD LE32S5970S Linux","799.00","599.00",32
"wong","SAMSUNG","Samsung Smart TV 49"" Full HD 49J5290","1799.00","1299.00",49
"wong","SAMSUNG","LG Smart TV 86"" 4K UHD 86UK6570 ThinQ AI","19999.00","9999.00",86
"wong","SONY","Sony Smart TV 32'' HD KDL-32W605D","1199.00","949.00",32
"wong","SAMSUNG","Samsung Smart TV Curvo 55'' 4K UHD 55NU7500","4499.00","2599.00",55
"wong","SAMSUNG","Samsung Smart TV QLED 55"" 4K UHD 55Q6FN","6999.00","3299.00",55
"wong","SAMSUNG","Samsung Smart TV QLED Curvo 65"" 4K UHD 65Q8CN","10999.00","5799.00",65
"wong","LG","LG Smart TV 65"" 4K UHD 65UK6550 ThinQ AI","5499.00","2999.00",65
"wong","LG","LG Smart TV 75"" 4K UHD 75UK6570 ThinQ AI","11999.00","5499.00",75
"wong","SONY","Sony Smart TV 55'' 4K UHD KD-55X725F Opera","3599.00","1799.00",55
"wong","SAMSUNG","Samsung Smart TV Curvo 65'' 4K UHD 65NU7500","6999.00","3999.00",65
"wong","LG","LG Smart TV 43"" Full HD 43LK5700 ThinQ AI",NA,"1299.00",43
"wong","SAMSUNG","Samsung Smart TV Curvo 65'' 4K UHD 65NU7300","4999.00","2799.00",65
"wong","AOC","AOC Smart TV 50'' 4K UHD 50U7970 Linux","1899.00","1099.00",50
"wong","SAMSUNG","Samsung Smart TV 55'' 4K UHD 55MU6103",NA,"3599.00",55
"wong","AOC","AOC Smart TV 65'' 4K UHD 65U7970 Linux","3599.00","2099.00",65
"wong","DAEWOO","Daewoo Smart TV 43'' Full HD L43S780BTS",NA,"1439.00",43
"wong","SAMSUNG","Samsung Smart TV 49'' 4K UHD 49MU6400",NA,"3999.00",49
